Godot Engine v4.8.dev.custom_build.675d3cbe7 (2026-09-07 13:09:50 UTC) - https://godotengine.org
Vulkan 1.4.351 - Forward+ - Using Device #0: NVIDIA - NVIDIA GeForce RTX 4090

STEP3 REQUEST config=0 includes=34 rowmajor=1 preserve=1 precise=1 optimization=0
STEP3 RESULT config=0 mode=INITIAL spirv=206988 container=31724 shader=valid pipeline=valid
STEP3 RESULT config=0 mode=TEMPORAL spirv=168796 container=26332 shader=valid pipeline=valid
STEP3 RESULT config=0 mode=SPATIAL spirv=175448 container=27552 shader=valid pipeline=valid
STEP3 RESULT config=0 mode=SHADE spirv=153416 container=23676 shader=valid pipeline=valid
STEP3 REQUEST config=1 includes=34 rowmajor=1 preserve=1 precise=1 optimization=0
STEP3 RESULT config=1 mode=INITIAL spirv=208316 container=31884 shader=valid pipeline=valid
STEP3 RESULT config=1 mode=TEMPORAL spirv=170124 container=26496 shader=valid pipeline=valid
STEP3 RESULT config=1 mode=SPATIAL spirv=176776 container=27680 shader=valid pipeline=valid
STEP3 RESULT config=1 mode=SHADE spirv=154744 container=23716 shader=valid pipeline=valid
STEP3 REQUEST config=2 includes=34 rowmajor=1 preserve=1 precise=1 optimization=0
STEP3 RESULT config=2 mode=INITIAL spirv=207072 container=31812 shader=valid pipeline=valid
STEP3 RESULT config=2 mode=TEMPORAL spirv=168880 container=26424 shader=valid pipeline=valid
STEP3 RESULT config=2 mode=SPATIAL spirv=175532 container=27608 shader=valid pipeline=valid
STEP3 RESULT config=2 mode=SHADE spirv=153500 container=23740 shader=valid pipeline=valid
STEP3 REQUEST config=3 includes=34 rowmajor=1 preserve=1 precise=1 optimization=0
STEP3 RESULT config=3 mode=INITIAL spirv=208400 container=31972 shader=valid pipeline=valid
STEP3 RESULT config=3 mode=TEMPORAL spirv=170208 container=26540 shader=valid pipeline=valid
STEP3 RESULT config=3 mode=SPATIAL spirv=176860 container=27692 shader=valid pipeline=valid
STEP3 RESULT config=3 mode=SHADE spirv=154828 container=23728 shader=valid pipeline=valid
STEP3 COMPLETE failures=0
